Stixxay,UT Reformed Me,AD Carry,Counter Logic Gaming,360.36,20.02,46,150,110,207,"13,933",1,1 / 1 / 0
Cabochard,Hikari no Saberu,Top,Team Vitality,357.29,19.85,36,94,82,163,"10,383",5,5 / 1 / 0
Odoamne,CheesePuppy,Top,H2K,356.94,19.83,36,73,75,215,"9,256",8,0 / 0 / 0
Lourlo,21Virtuoso,Top,Liquid,356.18,19.79,43,109,91,215,"10,189",6,1 / 1 / 0
Procxin,UT Reformed Me,Jungler,Team Envy,349.58,19.42,42,99,113,264,"6,772",7,0 / 0 / 0
Yellowstar,21Virtuoso,Support,Fnatic,348.74,19.37,36,12,84,331,"1,431",15,0 / 0 / 0
Pirean,,Mid,Phoenix1,346.25,20.37,41,92,107,205,"11,450",6,2 / 0 / 0
Exileh,,Mid,Unicorns of Love,345.70,19.21,36,131,106,143,"10,649",1,1 / 2 / 0
Smittyj,,Top,Giants,344.14,19.12,36,94,88,197,"10,487",4,4 / 0 / 0
Police,Hikari no Saberu,AD Carry,Team Vitality,344.08,21.51,32,84,50,160,"10,585",6,0 / 1 / 0
Matt,Matt Demon,Support,Liquid,341.51,18.97,43,25,128,355,"1,101",19,0 / 0 / 0
Mikyx,,Support,Splyce,341.01,18.94,36,22,101,316,"1,314",15,0 / 0 / 0
Hustlin,,Support,Giants,335.04,18.61,36,20,78,327,"1,319",19,0 / 0 / 0
Mash,,AD Carry,Phoenix1,330.20,20.64,41,125,80,171,"13,355",4,3 / 0 / 0
Betsy,GreysAnatomy Fan,Mid,ROCCAT,328.87,18.27,36,100,118,174,"11,508",3,4 / 0 / 0
Smoothie,SkyPhoenix9316,Support,Cloud9 ,325.03,18.06,28,13,52,279,673,16,0 / 0 / 0
Vizicsacsi,CheesePuppy,Top,Unicorns of Love,323.33,17.96,36,104,100,149,"9,565",4,4 / 0 / 0
PowerOfEvil,Matt Demon,Mid,Origen,322.77,17.93,35,111,100,136,"12,736",3,1 / 0 / 0
fabbbyyy,Uraziel1,AD Carry,Liquid,321.50,22.96,34,73,67,240,"8,242",13,0 / 0 / 0
Hakuho,GreysAnatomy Fan,Support,Team Envy,320.28,17.79,42,27,107,334,"1,599",17,0 / 0 / 0
Maxlore,,Jungler,Giants,318.50,17.69,36,52,92,251,"5,213",9,0 / 0 / 0
Vander,GreysAnatomy Fan,Support,H2K,318.50,17.69,36,25,65,279,"1,212",14,0 / 0 / 0
Steve,,Top,FC Schalke 04,315.67,17.54,36,65,90,201,"9,773",4,1 / 0 / 0
Seraph,Hikari no Saberu,Top,Team Envy,314.94,17.50,42,86,130,227,"11,596",3,0 / 0 / 0
Froggen,UT Reformed Me,Mid,Echo Fox,309.81,17.21,42,125,94,130,"13,275",0,1 / 0 / 0
aphromoo,Hikari no Saberu,Support,Counter Logic Gaming,309.76,17.21,46,28,117,343,986,14,0 / 0 / 0
Darshan,GreysAnatomy Fan,Top,Counter Logic Gaming,308.78,17.15,46,132,132,174,"10,331",3,2 / 1 / 0
sprattel,,Support,FC Schalke 04,308.17,17.12,36,14,67,289,"1,199",15,0 / 0 / 0
Parang,,Top,ROCCAT,308.04,17.11,36,67,124,183,"8,684",5,0 / 0 / 0
Quas,,Top,NRG Esports,307.53,17.08,43,80,146,200,"10,309",4,1 / 0 / 0
Amazing,,Jungler,Origen,299.40,16.63,36,74,98,181,"6,153",5,0 / 0 / 0
Move,,Jungler,Unicorns of Love,299.32,16.63,36,58,94,206,"4,670",7,0 / 0 / 0
SoaZ,Uraziel1,Top,Origen,297.19,16.51,36,76,105,166,"10,877",5,1 / 0 / 0
