Jensen,MustachedSpud,Mid,Cloud9 ,538.37,29.91,45,256,57,240,"14,527",12,10 / 1 / 0
Week 1,C9 vs. CLG,Loss (1-2),32.54,32.54,3,13,8,19,"1,174",1,0 / 0 / 0
Week 1,C9 vs. TSM,Loss (0-2),13.88,13.88,2,8,6,5,718,0,0 / 0 / 0
Week 2,C9 vs. P1,Win (2-0),23.61,23.61,2,8,2,11,642,0,1 / 0 / 0
Week 2,C9 vs. FOX,Win (2-0),41.72,41.72,2,13,3,17,811,1,1 / 0 / 0
Week 3,C9 vs. IMT,Loss (1-2),34.71,34.71,3,24,3,11,"1,098",1,2 / 0 / 0
Week 3,C9 vs. FLY,Win (2-0),36.50,36.50,2,16,1,12,645,1,1 / 0 / 0
Week 4,C9 vs. TL,Win (2-0),33.13,33.13,2,15,1,7,740,1,0 / 0 / 0
Week 4,C9 vs. DIG,Win (2-1),31.20,31.20,3,18,2,10,919,0,0 / 0 / 0
Week 5,C9 vs. TSM,Win (2-1),26.39,26.39,3,13,7,21,857,1,0 / 0 / 0
Week 5,C9 vs. CLG,Loss (1-2),14.58,14.58,3,6,6,10,953,0,0 / 0 / 0
Week 6,C9 vs. NV,Loss (0-2),17.60,17.60,2,5,1,3,697,0,0 / 0 / 0
Week 6,C9 vs. IMT,Loss (1-2),39.75,39.75,3,16,2,24,"1,124",1,1 / 0 / 0
Week 7,C9 vs. P1,Win (2-1),32.93,32.93,3,16,8,28,801,1,1 / 1 / 0
Week 7,C9 vs. DIG,Win (2-1),31.09,31.09,3,14,2,20,912,0,1 / 0 / 0
Week 8,C9 vs. TL,Win (2-1),30.66,30.66,3,19,1,10,895,1,1 / 0 / 0
Week 8,C9 vs. FLY,Win (2-0),39.03,39.03,2,25,2,10,491,2,0 / 0 / 0
Week 9,C9 vs. NV,Win (2-0),37.85,37.85,2,20,1,10,589,1,1 / 0 / 0
Week 9,C9 vs. FOX,Win (2-0),21.20,21.20,2,7,1,12,461,0,0 / 0 / 0
Caps,,Mid,Fnatic,521.93,29.23,25,124,49,174,"8,113",8,4 / 0 / 0
Week 1,FNC vs. MSF,Win (2-0),30.01,30.01,2,11,1,17,557,1,0 / 0 / 0
Week 1,FNC vs. NIP,Win (2-0),34.70,34.70,2,18,2,8,791,1,0 / 0 / 0
Week 2,FNC vs. G2*,Win (2-1),22.42,22.42,3,10,5,15,925,0,0 / 0 / 0
Week 3,FNC vs. ROC*,Loss (1-2),40.63,40.63,3,11,6,22,"1,065",1,0 / 0 / 0
Week 4,FNC vs. H2K,Win (2-0),22.85,22.85,2,10,3,9,579,0,0 / 0 / 0
Week 4,FNC vs. MM,Win (2-0),33.67,33.67,2,14,7,18,754,2,1 / 0 / 0
Week 5,FNC vs. SPY*,Win (2-0),22.47,22.47,2,10,4,12,839,0,0 / 0 / 0
Week 6,FNC vs. VIT*,Win (2-0),28.32,28.32,2,15,5,10,557,0,2 / 0 / 0
Week 7,FNC vs. UOL*,Win (2-1),29.17,29.17,3,13,10,28,801,2,1 / 0 / 0
Week 8,FNC vs. MSF*,Win (2-0),20.63,20.63,2,4,2,12,529,0,0 / 0 / 0
Week 9,FNC vs. ROC*,Win (2-0),36.71,36.71,2,8,4,23,716,1,0 / 0 / 0
Huhi,UT Reformed Me,Mid,Counter Logic Gaming,515.74,28.65,46,209,105,281,"14,195",11,3 / 0 / 0
Week 1,CLG vs. C9,Win (2-1),35.13,35.13,3,16,7,20,"1,088",1,0 / 0 / 0
Week 1,CLG vs. TL,Win (2-0),22.30,22.30,2,8,4,11,533,0,0 / 0 / 0
Week 2,CLG vs. FOX,Win (2-1),29.23,29.23,3,13,9,26,919,1,0 / 0 / 0
Week 2,CLG vs. TSM,Loss (1-2),22.74,22.74,3,10,11,12,910,0,0 / 0 / 0
Week 3,CLG vs. FLY,Win (2-1),37.51,37.51,3,15,7,31,"1,050",2,0 / 0 / 0
Week 3,CLG vs. P1,Win (2-1),29.60,29.60,3,14,14,20,960,1,0 / 0 / 0
Week 4,CLG vs. IMT,Loss (0-2),18.86,18.86,2,9,4,3,542,0,0 / 0 / 0
Week 4,CLG vs. NV,Win (2-1),25.71,25.71,3,13,7,13,895,0,1 / 0 / 0
Week 5,CLG vs. C9,Win (2-1),31.94,31.94,3,12,5,15,857,0,1 / 0 / 0
Week 5,CLG vs. TL,Win (2-0),27.25,27.25,2,6,0,21,626,1,0 / 0 / 0
Week 6,CLG vs. FLY,Win (2-0),38.37,38.37,2,11,0,19,716,1,1 / 0 / 0
Week 6,CLG vs. DIG,Loss (0-2),12.03,12.03,2,6,7,5,614,0,0 / 0 / 0
Week 7,CLG vs. FOX,Win (2-0),23.84,23.84,2,12,0,9,587,0,0 / 0 / 0
Week 7,CLG vs. IMT,Loss (1-2),40.16,40.16,3,19,12,20,939,1,0 / 0 / 0
Week 8,CLG vs. NV,Win (2-0),21.21,21.21,2,9,2,12,521,0,0 / 0 / 0
Week 8,CLG vs. P1,Loss (1-2),30.06,30.06,3,9,4,14,789,1,0 / 0 / 0
Week 9,CLG vs. DIG,Win (2-1),28.20,28.20,3,13,4,17,902,1,0 / 0 / 0
Week 9,CLG vs. TSM,Loss (0-2),41.60,41.60,2,14,8,13,747,1,0 / 0 / 0
Rekkles,,AD Carry,Fnatic,515.09,28.56,25,143,22,135,"9,409",6,8 / 0 / 0
Week 1,FNC vs. MSF,Win (2-0),26.46,26.46,2,11,0,11,674,0,2 / 0 / 0
Week 1,FNC vs. NIP,Win (2-0),32.58,32.58,2,10,3,17,720,1,1 / 0 / 0
Week 2,FNC vs. G2*,Win (2-1),23.15,23.15,3,17,2,9,"1,097",0,0 / 0 / 0
Week 3,FNC vs. ROC*,Loss (1-2),41.64,41.64,3,17,2,11,"1,300",1,0 / 0 / 0
Week 4,FNC vs. H2K,Win (2-0),24.13,24.13,2,10,0,12,632,0,0 / 0 / 0
Week 4,FNC vs. MM,Win (2-0),30.04,30.04,2,11,1,17,821,0,0 / 0 / 0
Week 5,FNC vs. SPY*,Win (2-0),22.20,22.20,2,9,1,6,848,0,1 / 0 / 0
Week 6,FNC vs. VIT*,Win (2-0),24.15,24.15,2,9,1,14,760,0,0 / 0 / 0
Week 7,FNC vs. UOL*,Win (2-1),30.83,30.83,3,15,6,28,"1,063",2,0 / 0 / 0
Week 8,FNC vs. MSF*,Win (2-0),14.37,14.37,2,8,2,2,602,0,2 / 0 / 0
Week 9,FNC vs. ROC*,Win (2-0),44.60,44.60,2,26,4,8,892,2,2 / 0 / 0
Stixxay,Uraziel1,AD Carry,Counter Logic Gaming,506.98,28.17,46,181,83,289,"14,046",10,6 / 0 / 0
Week 1,CLG vs. C9,Win (2-1),35.80,35.80,3,14,3,20,"1,207",1,0 / 0 / 0
Week 1,CLG vs. TL,Win (2-0),23.63,23.63,2,6,3,13,532,0,0 / 0 / 0
Week 2,CLG vs. FOX,Win (2-1),28.62,28.62,3,10,4,30,948,1,0 / 0 / 0
Week 2,CLG vs. TSM,Loss (1-2),30.92,30.92,3,12,7,20,943,1,0 / 0 / 0
Week 3,CLG vs. FLY,Win (2-1),47.46,47.46,3,24,10,33,"1,149",2,0 / 0 / 0
Week 3,CLG vs. P1,Win (2-1),22.61,22.61,3,12,6,11,989,0,0 / 0 / 0
Week 4,CLG vs. IMT,Loss (0-2),7.30,7.30,2,0,6,6,523,0,0 / 0 / 0
Week 4,CLG vs. NV,Win (2-1),28.28,28.28,3,10,5,12,851,0,1 / 0 / 0
Week 5,CLG vs. C9,Win (2-1),29.10,29.10,3,11,1,13,921,0,1 / 0 / 0
Week 5,CLG vs. TL,Win (2-0),32.13,32.13,2,17,1,9,594,0,3 / 0 / 0
Week 6,CLG vs. FLY,Win (2-0),43.63,43.63,2,13,3,13,710,1,1 / 0 / 0
Week 6,CLG vs. DIG,Loss (0-2),10.50,10.50,2,4,5,6,596,0,0 / 0 / 0
Week 7,CLG vs. FOX,Win (2-0),21.11,21.11,2,5,1,14,514,1,0 / 0 / 0
Week 7,CLG vs. IMT,Loss (1-2),41.44,41.44,3,12,9,29,896,1,0 / 0 / 0
Week 8,CLG vs. NV,Win (2-0),22.99,22.99,2,10,4,12,520,0,0 / 0 / 0
Week 8,CLG vs. P1,Loss (1-2),23.91,23.91,3,7,7,14,642,0,0 / 0 / 0
Week 9,CLG vs. DIG,Win (2-1),27.73,27.73,3,10,3,18,756,1,0 / 0 / 0
Week 9,CLG vs. TSM,Loss (0-2),29.82,29.82,2,4,5,16,755,1,0 / 0 / 0
Cody Sun,UT Reformed Me,AD Carry,Immortals,486.59,27.03,45,182,85,269,"13,968",6,6 / 2 / 0
Week 1,IMT vs. P1,Win (2-1),30.28,30.28,3,9,5,19,"1,108",1,0 / 0 / 0
Week 1,IMT vs. TSM,Win (2-0),21.42,21.42,2,8,4,14,621,0,0 / 0 / 0
Week 2,IMT vs. NV,Loss (0-2),8.53,8.53,2,1,6,6,560,0,0 / 0 / 0
Week 2,IMT vs. FLY,Win (2-1),37.20,37.20,3,17,9,20,"1,046",1,0 / 1 / 0
Week 3,IMT vs. TL,Win (2-0),14.89,14.89,2,8,3,6,527,0,0 / 0 / 0
Week 3,IMT vs. C9,Win (2-1),26.91,26.91,3,15,7,16,"1,137",0,1 / 0 / 0
Week 4,IMT vs. CLG,Win (2-0),28.80,28.80,2,9,1,15,562,0,1 / 0 / 0
Week 4,IMT vs. DIG,Win (2-1),38.34,38.34,3,14,5,21,726,1,0 / 0 / 0
Week 5,IMT vs. TSM,Loss (0-2),21.74,21.74,2,10,6,9,691,0,0 / 0 / 0
Week 5,IMT vs. P1,Loss (1-2),28.73,28.73,3,8,3,16,864,0,0 / 0 / 0
Week 6,IMT vs. FOX,Win (2-0),30.67,30.67,2,9,2,15,680,0,0 / 0 / 0
Week 6,IMT vs. C9,Win (2-1),32.46,32.46,3,10,11,21,967,1,0 / 0 / 0
Week 7,IMT vs. FLY,Win (2-1),23.05,23.05,3,10,4,12,927,0,1 / 0 / 0
Week 7,IMT vs. CLG,Win (2-1),43.23,43.23,3,23,8,24,905,1,3 / 0 / 0
Week 8,IMT vs. TL,Win (2-0),16.81,16.81,2,4,4,13,666,0,0 / 0 / 0
Week 8,IMT vs. DIG,Loss (1-2),19.55,19.55,3,3,3,14,"1,050",0,0 / 0 / 0
Week 9,IMT vs. NV,Win (2-0),27.11,27.11,2,11,1,15,425,1,0 / 0 / 0
Week 9,IMT vs. FOX,Win (2-0),36.87,36.87,2,13,3,13,506,0,0 / 1 / 0
Bjergsen,Uraziel1,Mid,TSM,485.45,26.97,41,193,67,261,"12,840",8,4 / 0 / 0
Week 1,TSM vs. C9,Win (2-0),29.98,29.98,2,10,3,14,698,0,1 / 0 / 0
Week 1,TSM vs. IMT,Loss (0-2),11.84,11.84,2,1,5,7,597,0,0 / 0 / 0
Week 2,TSM vs. DIG,Loss (1-2),24.62,24.62,3,9,4,16,971,1,0 / 0 / 0
Week 2,TSM vs. CLG,Win (2-1),36.90,36.90,3,17,6,19,884,1,0 / 0 / 0
Week 3,TSM vs. TL,Win (2-0),31.31,31.31,2,7,4,20,604,1,0 / 0 / 0
Week 3,TSM vs. NV,Win (2-0),25.77,25.77,2,12,2,10,634,0,0 / 0 / 0
Week 4,TSM vs. FLY,Win (2-0),27.22,27.22,2,7,2,20,526,1,0 / 0 / 0
Week 4,TSM vs. FOX,Win (2-0),19.24,19.24,2,7,3,8,603,0,0 / 0 / 0
Week 5,TSM vs. C9,Loss (1-2),23.68,23.68,3,11,8,15,870,0,0 / 0 / 0
Week 5,TSM vs. IMT,Win (2-0),31.15,31.15,2,17,5,12,623,1,0 / 0 / 0
Week 6,TSM vs. P1,Win (2-0),22.93,22.93,2,9,2,15,558,0,0 / 0 / 0
Week 6,TSM vs. TL,Win (2-0),31.94,31.94,2,13,6,11,595,1,1 / 0 / 0
Week 7,TSM vs. DIG,Loss (0-2),23.68,23.68,2,9,4,9,630,0,0 / 0 / 0
Week 7,TSM vs. FOX,Win (2-1),32.82,32.82,3,14,2,27,781,1,0 / 0 / 0
Week 8,TSM vs. FLY,Win (2-0),27.07,27.07,2,12,1,15,604,0,1 / 0 / 0
Week 8,TSM vs. NV,Win (2-1),23.34,23.34,3,14,4,11,"1,305",0,0 / 0 / 0
Week 9,TSM vs. P1,Win (2-0),33.74,33.74,2,10,1,19,571,1,0 / 0 / 0
Week 9,TSM vs. CLG,Win (2-0),28.22,28.22,2,14,5,13,786,0,1 / 0 / 0
Nuclear,,AD Carry,H2K,471.27,25.93,24,99,44,143,"6,918",3,3 / 1 / 0
Week 1,H2K vs. SPY,Win (2-0),25.51,25.51,2,8,2,16,617,0,1 / 0 / 0
Week 1,H2K vs. MM,Win (2-0),26.81,26.81,2,11,1,11,589,0,1 / 0 / 0
Week 2,H2K vs. UOL*,Loss (1-2),23.34,23.34,3,14,10,15,769,0,0 / 0 / 0
Week 3,H2K vs. VIT*,Win (2-0),33.59,33.59,2,9,4,18,556,0,1 / 0 / 0
Week 4,H2K vs. FNC,Loss (0-2),2.30,2.30,2,0,6,1,536,0,0 / 0 / 0
Week 4,H2K vs. NIP,Win (2-0),44.53,44.53,2,20,6,11,594,1,0 / 1 / 0
Week 5,H2K vs. MSF*,Win (2-0),22.33,22.33,2,7,5,14,814,0,0 / 0 / 0
Week 6,H2K vs. ROC*,Win (2-0),23.77,23.77,2,7,0,10,405,0,0 / 0 / 0
Week 7,H2K vs. G2*,Loss (1-2),33.09,33.09,3,6,5,20,879,1,0 / 0 / 0
Week 8,H2K vs. SPY*,Win (2-0),28.86,28.86,2,8,4,18,619,1,0 / 0 / 0
Week 9,H2K vs. VIT*,Win (2-0),21.08,21.08,2,9,1,9,540,0,0 / 0 / 0
Sneaky,UT Reformed Me,AD Carry,Cloud9 ,468.89,26.05,45,146,88,296,"13,581",10,3 / 1 / 0
Week 1,C9 vs. CLG,Loss (1-2),32.24,32.24,3,9,12,24,"1,225",0,0 / 0 / 0
Week 1,C9 vs. TSM,Loss (0-2),14.99,14.99,2,4,3,10,814,0,0 / 0 / 0
Week 2,C9 vs. P1,Win (2-0),20.57,20.57,2,5,1,12,586,0,1 / 0 / 0
Week 2,C9 vs. FOX,Win (2-0),40.23,40.23,2,14,3,12,865,1,0 / 0 / 0
Week 3,C9 vs. IMT,Loss (1-2),27.56,27.56,3,6,6,28,"1,117",2,0 / 0 / 0
Week 3,C9 vs. FLY,Win (2-0),25.83,25.83,2,8,2,17,515,0,0 / 0 / 0
Week 4,C9 vs. TL,Win (2-0),21.82,21.82,2,7,2,10,611,0,0 / 0 / 0
Week 4,C9 vs. DIG,Win (2-1),29.41,29.41,3,13,3,14,813,0,0 / 0 / 0
Week 5,C9 vs. TSM,Win (2-1),33.75,33.75,3,12,4,16,884,0,0 / 1 / 0
Week 5,C9 vs. CLG,Loss (1-2),17.23,17.23,3,6,11,13,862,0,0 / 0 / 0
Week 6,C9 vs. NV,Loss (0-2),12.83,12.83,2,3,6,5,671,0,0 / 0 / 0
Week 6,C9 vs. IMT,Loss (1-2),25.05,25.05,3,8,13,23,918,1,0 / 0 / 0
Week 7,C9 vs. P1,Win (2-1),45.41,45.41,3,17,6,27,709,1,2 / 0 / 0
