1,Week 6,,,TIP vs. CLG,Win (1-0),15.02,15.02,1,3,0,5,152,0,0 / 0 / 0
1,Week 7,,,TIP vs. DIG,Win (1-0),40.78,40.78,1,8,0,13,128,1,1 / 0 / 0
1,Week 7,,,TIP vs. T8,Win (1-0),24.59,24.59,1,1,0,13,109,1,0 / 0 / 0
1,Week 8,,,TIP vs. TSM,Win (1-0),19.64,19.64,1,3,0,8,164,0,0 / 0 / 0
1,Week 8,,,TIP vs. TDK,Win (1-0),32.37,32.37,1,5,0,13,87,1,0 / 0 / 0
1,Week 9,,,TIP vs. GV,Win (1-0),36.23,36.23,1,9,0,10,123,1,0 / 0 / 0
1,Week 9,,,TIP vs. TL,Loss (0-0),38.86,38.86,1,4,0,18,186,1,0 / 0 / 0
1,Piglet,OG5 Ablaze,AD Carry,Team Liquid,,457.9,25.44,18,93,0,122,"6,390",7,3/1/2000
1,Week 1,,,TL vs. TDK,Win (1-0),32.92,32.92,1,9,0,4,392,0,0 / 1 / 0
1,Week 1,,,TL vs. T8,Win (1-0),31.67,31.67,1,4,0,12,367,1,0 / 0 / 0
1,Week 2,,,TL vs. NME,Win (1-0),31.58,31.58,1,11,0,3,308,1,0 / 0 / 0
1,Week 2,,,TL vs. GV,Loss (0-0),6.85,6.85,1,2,0,0,285,0,0 / 0 / 0
1,Week 3,,,TL vs. C9,Win (1-0),31.26,31.26,1,4,0,12,326,1,0 / 0 / 0
1,Week 3,,,TL vs. TIP,Win (1-0),14.63,14.63,1,1,0,6,363,0,0 / 0 / 0
1,Week 4,,,TL vs. TSM,Loss (0-0),12.68,12.68,1,0,0,6,368,0,0 / 0 / 0
1,Week 4,,,TL vs. DIG,Loss (0-0),20,20,1,5,0,4,400,0,0 / 0 / 0
1,Week 5,,,TL vs. CLG,Win (1-0),21.43,21.43,1,3,0,8,343,0,0 / 0 / 0
1,Week 5,,,TL vs. GV,Loss (0-0),17.4,17.4,1,5,0,2,440,0,0 / 0 / 0
1,Week 6,,,TL vs. C9,Win (1-0),44.62,44.62,1,8,0,14,362,1,1 / 0 / 0
1,Week 6,,,TL vs. DIG,Win (1-0),19.3,19.3,1,6,0,3,280,0,0 / 0 / 0
1,Week 7,,,TL vs. TDK,Win (1-0),37.35,37.35,1,7,0,10,435,1,1 / 0 / 0
1,Week 7,,,TL vs. TSM,Win (1-0),33.11,33.11,1,6,0,10,411,1,0 / 0 / 0
1,Week 8,,,TL vs. CLG,Loss (0-0),6.69,6.69,1,1,0,1,319,0,0 / 0 / 0
1,Week 8,,,TL vs. NME,Win (1-0),34.2,34.2,1,9,0,8,220,0,1 / 0 / 0
1,Week 9,,,TL vs. T8,Win (1-0),22.46,22.46,1,5,0,6,346,0,0 / 0 / 0
1,Week 9,,,TL vs. TIP,Win (1-0),39.75,39.75,1,7,0,13,425,1,0 / 0 / 0
1,Rekkles,ChrisL,AD Carry,Fnatic,,450.33,25.02,18,99,0,125,"5,683",3,1 / 0 / 0
1,Week 1,,,FNC vs. UOL,Win (1-0),21.95,21.95,1,7,0,3,345,0,0 / 0 / 0
1,Week 1,,,FNC vs. SK,Win (1-0),39.35,39.35,1,7,0,12,335,1,1 / 0 / 0
1,Week 2,,,FNC vs. ROC,Win (1-0),22.24,22.24,1,8,0,2,324,0,0 / 0 / 0
1,Week 2,,,FNC vs. GMB,Win (1-0),22.59,22.59,1,5,0,6,359,0,0 / 0 / 0
1,Week 3,,,FNC vs. EL,Win (1-0),30.63,30.63,1,7,0,9,313,0,0 / 0 / 0
1,Week 3,,,FNC vs. GIA,Win (1-0),13.98,13.98,1,2,0,5,248,0,0 / 0 / 0
1,Week 4,,,FNC vs. OG,Win (1-0),33.01,33.01,1,8,0,9,351,0,0 / 0 / 0
1,Week 4,,,FNC vs. CW,Win (1-0),25.91,25.91,1,5,0,9,241,0,0 / 0 / 0
1,Week 5,,,FNC vs. H2K,Win (1-0),26.72,26.72,1,1,0,13,322,1,0 / 0 / 0
1,Week 5,,,FNC vs. GMB,Win (1-0),18.84,18.84,1,2,0,8,284,0,0 / 0 / 0
1,Week 6,,,FNC vs. GIA,Win (1-0),38.41,38.41,1,13,0,4,441,1,0 / 0 / 0
1,Week 6,,,FNC vs. CW,Win (1-0),18.97,18.97,1,2,0,8,297,0,0 / 0 / 0
1,Week 7,,,FNC vs. H2K,Win (1-0),27.13,27.13,1,6,0,8,313,0,0 / 0 / 0
1,Week 7,,,FNC vs. OG,Win (1-0),26.38,26.38,1,6,0,7,388,0,0 / 0 / 0
1,Week 8,,,FNC vs. ROC,Win (1-0),14.16,14.16,1,3,0,3,366,0,0 / 0 / 0
1,Week 8,,,FNC vs. EL,Win (1-0),20.96,20.96,1,6,0,4,296,0,0 / 0 / 0
1,Week 9,,,FNC vs. SK,Win (1-0),25.3,25.3,1,7,0,6,230,0,0 / 0 / 0
1,Week 9,,,FNC vs. UOL,Win (1-0),23.8,23.8,1,4,0,9,230,0,0 / 0 / 0
1,Impact,The Fye,Top,Team Impulse,,442.47,24.58,18,66,0,167,"4,197",9,0 / 0 / 0
