Jensen,Durjaya,Mid,Cloud9 ,498.12,27.67,44,215,88,261,"16,331",5,9 / 0 / 0
Bjergsen,MustachedSpud,Mid,TSM,476.37,26.47,47,197,87,284,"15,116",9,3 / 0 / 1
Sneaky,Clarkie,AD Carry,Cloud9 ,458.61,25.48,44,144,101,281,"13,993",7,1 / 0 / 0
Hauntzer,Durjaya,Top,TSM,452.51,25.14,47,149,108,328,"14,237",12,0 / 0 / 0
Arrow,MustachedSpud,AD Carry,Phoenix1,451.58,25.09,41,161,78,251,"12,707",8,5 / 0 / 0
Contractz,MustachedSpud,Jungler,Cloud9 ,451.47,25.08,44,160,124,296,"8,145",10,0 / 0 / 0
Huhi,UT Reformed Me,Mid,Counter Logic Gaming,440.23,24.46,44,187,150,238,"13,621",8,0 / 0 / 0
Froggen,Uraziel1,Mid,Echo Fox,436.41,24.25,43,154,108,266,"14,092",10,1 / 0 / 0
Stixxay,UT Reformed Me,AD Carry,Counter Logic Gaming,431.95,25.41,42,165,116,248,"13,569",10,2 / 0 / 0
Hai,Uraziel1,Mid,FlyQuest,430.82,23.93,43,185,153,220,"12,412",7,1 / 1 / 1
Piglet,CheesePuppy,"Mid, AD Carry",Team Liquid,429.69,23.87,47,138,158,255,"13,807",9,1 / 1 / 0
Impact,Long Horny,Top,Cloud9 ,419.55,23.31,34,78,80,262,"10,275",13,0 / 0 / 0
Ryu,Clarkie,Mid,Phoenix1,418.86,23.27,41,155,98,217,"13,024",5,1 / 1 / 0
Dardoch,Clarkie,Jungler,Immortals,414.73,23.04,44,181,150,237,"8,416",9,5 / 0 / 0
WildTurtle,Uraziel1,AD Carry,TSM,414.11,23.01,47,154,107,260,"14,346",5,6 / 0 / 0
Smoothie,Uraziel1,Support,Cloud9 ,413.35,22.96,44,51,85,410,"1,309",23,0 / 0 / 0
Altec,QuapQuapQuap,AD Carry,FlyQuest,413.20,22.96,43,149,91,233,"12,703",4,3 / 0 / 0
Reignover,UT Reformed Me,Jungler,Team Liquid,412.66,22.93,47,165,151,226,"9,496",6,4 / 0 / 0
Svenskeren,Durjaya,Jungler,TSM,411.37,22.85,47,162,152,294,"7,942",8,0 / 0 / 0
LOD,QuapQuapQuap,AD Carry,Team Dignitas,406.79,22.60,44,150,100,244,"13,518",7,3 / 0 / 0
Moon,UT Reformed Me,Jungler,FlyQuest,402.74,22.37,43,158,105,240,"7,567",5,3 / 1 / 0
Darshan,Durjaya,Top,Counter Logic Gaming,399.82,22.21,44,119,139,279,"12,018",11,1 / 1 / 0
Keane,Long Horny,Mid,Team Dignitas,395.67,21.98,44,162,102,217,"14,688",6,4 / 0 / 0
Apollo,Uraziel1,AD Carry,Team Envy,392.83,21.82,45,134,98,214,"15,467",5,2 / 0 / 0
Xmithie,CheesePuppy,Jungler,Counter Logic Gaming,390.96,21.72,44,133,164,268,"7,577",11,1 / 0 / 0
Biofrost,MustachedSpud,Support,TSM,390.85,21.71,47,38,100,445,"1,587",22,0 / 0 / 0
Cody Sun,Long Horny,AD Carry,Immortals,388.57,21.59,44,125,98,237,"14,695",3,1 / 0 / 0
Chaser,Long Horny,Jungler,Team Dignitas,387.48,21.53,44,124,117,277,"7,841",8,0 / 0 / 0
Pobelter,CheesePuppy,Mid,Immortals,385.81,21.43,44,167,160,187,"14,593",3,4 / 0 / 0
Ninja,QuapQuapQuap,Mid,Team Envy,380.15,21.12,45,147,157,195,"14,974",5,4 / 0 / 0
Akaadian,Long Horny,Jungler,Echo Fox,374.91,20.83,43,178,144,211,"8,609",4,0 / 1 / 0
