Split,Week,Player,Position,Team,Opponent,Result,Points,TeamPoints
1.0,1.0,GAMSU,Top,DIG, C9,1.0,12.41,1.0
1.0,1.0,MOVE,Jungler,GV ,TDK,1.0,22.92,3.0
1.0,1.0,STEVE,Top,ROC,GMB,1.0,29.29,8.0
1.0,1.0,FROGGEN,Mid,EL ,UOL,0.0,9.01,8.0
1.0,1.0,JENSEN,Mid,C9 ,TSM,1.0,26.86,15.0
1.0,1.0,DYRUS,Top,TSM, C9,0.0,14.11,7.0
1.0,1.0,LATTMAN,AD Carry,TDK, GV,0.0,16.95,20.0
1.0,1.0,WOOLITE,AD Carry,ROC,GMB,1.0,25.89,8.0
1.0,1.0,YOUNGBUCK,Top,CW ,GIA,0.0,28.43,11.0
1.0,1.0,PROMISQ,Support,EL ,UOL,0.0,6.28,8.0
1.0,1.0,AIRWAKS,Jungler,CW ,GIA,0.0,25.22,11.0
1.0,1.0,BISCHU,Mid,TDK, TL,0.0,15.86,4.0
1.0,1.0,AZINGY,Jungler,DIG,CLG,0.0,6.48,1.0
1.0,1.0,SERAPH,Top,TDK, TL,0.0,17.01,4.0
1.0,1.0,FREDY122,Top,SK , CW,0.0,4.06,17.0
1.0,1.0,PORPOISE8,Jungler,T8 ,TIP,0.0,10.37,10.0
1.0,1.0,OTTER,AD Carry,NME, GV,1.0,39.29,3.0
1.0,1.0,VANDER,Support,ROC,H2K,0.0,6.35,13.0
1.0,1.0,CALITRLOLZ8,Top,T8 ,TIP,0.0,10.02,10.0
1.0,1.0,FR3DERIC,Jungler,GIA, OG,0.0,10.58,7.0
1.0,1.0,G0DFRED,Support,GIA, OG,0.0,9.32,7.0
1.0,1.0,HYLISSANG,Support,UOL,FNC,0.0,7.09,4.0
1.0,1.0,KIWIKID,Support,DIG,CLG,0.0,3.05,1.0
1.0,1.0,LEMONNATION,Support,C9 ,TSM,1.0,20.52,15.0
1.0,1.0,KIKIS,Jungler,UOL,FNC,0.0,3.99,4.0
1.0,1.0,FLARESZ,Top,NME,TSM,0.0,18.51,17.0
1.0,1.0,DIAMONDPROX,Jungler,GMB,ROC,0.0,16.53,18.0
1.0,1.0,JANKOS,Jungler,ROC,GMB,1.0,21.87,22.0
