WildTurtle,UT Reformed Me,AD Carry,Immortals,436.72,24.26,18,104,31,114,"5,022",5,4 / 1 / 0
Week 1,IMT vs. C9,Win (1-0),37.17,37.17,1,11,1,4,267,1,0 / 1 / 0
Week 1,IMT vs. TIP,Win (1-0),11.12,11.12,1,1,0,5,162,0,0 / 0 / 0
Week 2,IMT vs. TSM,Win (1-0),19.47,19.47,1,4,2,6,347,0,0 / 0 / 0
Week 2,IMT vs. NRG,Win (1-0),24.50,24.50,1,8,1,4,300,0,0 / 0 / 0
Week 3,IMT vs. REN,Win (1-0),33.33,33.33,1,11,0,3,283,1,1 / 0 / 0
Week 3,IMT vs. FOX,Win (1-0),5.40,5.40,1,1,0,1,190,0,0 / 0 / 0
Week 4,IMT vs. CLG,Win (1-0),28.46,28.46,1,7,1,8,296,0,0 / 0 / 0
Week 4,IMT vs. TL,Win (1-0),20.45,20.45,1,5,1,6,195,0,0 / 0 / 0
Week 5,IMT vs. DIG,Win (1-0),16.81,16.81,1,5,3,4,231,0,0 / 0 / 0
Week 5,IMT vs. C9,Win (1-0),44.00,44.00,1,13,1,8,250,1,1 / 0 / 0
Week 6,IMT vs. REN,Win (1-0),20.56,20.56,1,4,2,7,306,0,0 / 0 / 0
Week 6,IMT vs. TL,Win (1-0),14.29,14.29,1,2,2,6,229,0,0 / 0 / 0
Week 7,IMT vs. CLG,Loss (0-1),21.57,21.57,1,7,1,2,507,0,0 / 0 / 0
Week 7,IMT vs. FOX,Win (1-0),19.45,19.45,1,3,1,8,195,0,0 / 0 / 0
Week 8,IMT vs. NRG,Win (1-0),26.91,26.91,1,7,4,8,291,0,0 / 0 / 0
Week 8,IMT vs. DIG,Win (1-0),32.80,32.80,1,7,4,9,530,0,1 / 0 / 0
Week 9,IMT vs. TSM,Win (1-0),33.20,33.20,1,5,2,12,220,1,1 / 0 / 0
Week 9,IMT vs. TIP,Win (1-0),27.23,27.23,1,3,5,13,223,1,0 / 0 / 0
Pobelter,UT Reformed Me,Mid,Immortals,408.86,22.71,18,76,25,136,"4,736",7,2 / 0 / 0
Week 1,IMT vs. C9,Win (1-0),21.29,21.29,1,2,3,10,179,1,0 / 0 / 0
Week 1,IMT vs. TIP,Win (1-0),21.83,21.83,1,7,0,3,133,0,1 / 0 / 0
Week 2,IMT vs. TSM,Win (1-0),26.64,26.64,1,3,3,11,364,1,0 / 0 / 0
Week 2,IMT vs. NRG,Win (1-0),22.11,22.11,1,7,1,4,261,0,0 / 0 / 0
Week 3,IMT vs. REN,Win (1-0),6.84,6.84,1,1,2,2,284,0,0 / 0 / 0
Week 3,IMT vs. FOX,Win (1-0),20.53,20.53,1,7,0,3,203,0,0 / 0 / 0
Week 4,IMT vs. CLG,Win (1-0),26.92,26.92,1,4,1,10,242,1,0 / 0 / 0
Week 4,IMT vs. TL,Win (1-0),20.82,20.82,1,1,1,10,232,1,0 / 0 / 0
Week 5,IMT vs. DIG,Win (1-0),10.99,10.99,1,1,2,5,249,0,0 / 0 / 0
Week 5,IMT vs. C9,Win (1-0),35.53,35.53,1,4,2,16,253,1,0 / 0 / 0
Week 6,IMT vs. REN,Win (1-0),22.19,22.19,1,5,2,7,269,0,0 / 0 / 0
Week 6,IMT vs. TL,Win (1-0),26.39,26.39,1,3,1,11,239,1,0 / 0 / 0
Week 7,IMT vs. CLG,Loss (0-1),11.80,11.80,1,2,1,3,380,0,0 / 0 / 0
Week 7,IMT vs. FOX,Win (1-0),16.58,16.58,1,4,0,4,258,0,0 / 0 / 0
Week 8,IMT vs. NRG,Win (1-0),27.68,27.68,1,8,1,6,318,0,0 / 0 / 0
Week 8,IMT vs. DIG,Win (1-0),26.04,26.04,1,5,3,9,404,0,0 / 0 / 0
Week 9,IMT vs. TSM,Win (1-0),33.56,33.56,1,5,0,13,206,1,0 / 0 / 0
Week 9,IMT vs. TIP,Win (1-0),31.12,31.12,1,7,2,9,262,0,1 / 0 / 0
Piglet,SkyPhoenix9316,AD Carry,Liquid,381.20,21.18,18,87,30,102,"5,520",5,2 / 0 / 0
Week 1,TL vs. REN,Loss (0-1),26.51,26.51,1,7,4,5,501,0,1 / 0 / 0
Week 1,TL vs. TSM,Loss (0-1),32.38,32.38,1,6,1,10,388,1,0 / 0 / 0
Week 2,TL vs. CLG,Loss (0-1),8.92,8.92,1,3,3,1,292,0,0 / 0 / 0
Week 2,TL vs. FOX,Win (1-0),19.25,19.25,1,3,0,6,425,0,0 / 0 / 0
Week 3,TL vs. NRG,Win (1-0),33.22,33.22,1,7,1,10,272,1,0 / 0 / 0
Week 3,TL vs. TIP,Win (1-0),18.27,18.27,1,3,2,7,277,0,0 / 0 / 0
Week 4,TL vs. DIG,Win (1-0),25.10,25.10,1,2,0,11,260,1,0 / 0 / 0
Week 4,TL vs. IMT,Loss (0-1),6.81,6.81,1,2,2,1,231,0,0 / 0 / 0
Week 5,TL vs. C9,Loss (0-1),6.72,6.72,1,1,4,3,222,0,0 / 0 / 0
Week 5,TL vs. REN,Win (1-0),30.17,30.17,1,7,0,9,267,0,0 / 0 / 0
Week 6,TL vs. FOX,Loss (0-1),22.62,22.62,1,5,2,6,462,0,0 / 0 / 0
Week 6,TL vs. IMT,Loss (0-1),5.88,5.88,1,1,3,2,238,0,0 / 0 / 0
Week 7,TL vs. TIP,Win (1-0),20.11,20.11,1,4,1,7,211,0,0 / 0 / 0
Week 7,TL vs. TSM,Win (1-0),31.63,31.63,1,10,1,5,263,1,0 / 0 / 0
Week 8,TL vs. CLG,Win (1-0),15.29,15.29,1,4,1,3,329,0,0 / 0 / 0
Week 8,TL vs. NRG,Loss (0-1),19.79,19.79,1,4,2,5,329,0,1 / 0 / 0
Week 9,TL vs. DIG,Win (1-0),21.96,21.96,1,7,2,4,296,0,0 / 0 / 0
Week 9,TL vs. C9,Win (1-0),36.57,36.57,1,11,1,7,257,1,0 / 0 / 0
Huni,Uraziel1,Top,Immortals,380.70,21.15,18,69,38,126,"4,470",4,0 / 0 / 2
Week 1,IMT vs. C9,Win (1-0),16.22,16.22,1,2,3,8,172,0,0 / 0 / 0
Week 1,IMT vs. TIP,Win (1-0),11.94,11.94,1,3,0,3,144,0,0 / 0 / 0
Week 2,IMT vs. TSM,Win (1-0),24.05,24.05,1,6,6,8,305,0,0 / 0 / 0
Week 2,IMT vs. NRG,Win (1-0),21.74,21.74,1,0,2,12,274,1,0 / 0 / 0
Week 3,IMT vs. REN,Win (1-0),19.07,19.07,1,2,1,9,207,0,0 / 0 / 0
Week 3,IMT vs. FOX,Win (1-0),9.54,9.54,1,1,0,4,154,0,0 / 0 / 0
Week 4,IMT vs. CLG,Win (1-0),16.59,16.59,1,3,2,6,259,0,0 / 0 / 0
Week 4,IMT vs. TL,Win (1-0),20.45,20.45,1,5,2,6,245,0,0 / 0 / 0
Week 5,IMT vs. DIG,Win (1-0),16.06,16.06,1,3,2,6,206,0,0 / 0 / 0
Week 5,IMT vs. C9,Win (1-0),21.79,21.79,1,3,6,10,179,1,0 / 0 / 0
Week 6,IMT vs. REN,Win (1-0),15.85,15.85,1,4,4,5,235,0,0 / 0 / 0
Week 6,IMT vs. TL,Win (1-0),39.46,39.46,1,9,0,6,246,0,0 / 0 / 1
Week 7,IMT vs. CLG,Loss (0-1),7.40,7.40,1,0,4,4,340,0,0 / 0 / 0
Week 7,IMT vs. FOX,Win (1-0),22.62,22.62,1,6,0,6,162,0,0 / 0 / 0
Week 8,IMT vs. NRG,Win (1-0),31.04,31.04,1,4,0,12,304,1,0 / 0 / 0
Week 8,IMT vs. DIG,Win (1-0),21.31,21.31,1,3,4,8,531,0,0 / 0 / 0
Week 9,IMT vs. TSM,Win (1-0),33.02,33.02,1,7,1,10,252,1,0 / 0 / 0
Week 9,IMT vs. TIP,Win (1-0),32.55,32.55,1,8,1,3,255,0,0 / 0 / 1
Emperor,DarknessDan13,AD Carry,G2 Esports,380.56,21.14,18,82,40,113,"5,106",5,3 / 0 / 0
Week 1,G2 vs. EL,Win (1-0),13.47,13.47,1,2,1,5,247,0,0 / 0 / 0
Week 1,G2 vs. ROC,Win (1-0),27.39,27.39,1,7,1,8,189,0,0 / 0 / 0
Week 2,G2 vs. GIA,Win (1-0),14.38,14.38,1,3,1,4,288,0,0 / 0 / 0
Week 2,G2 vs. H2K,Loss (0-1),5.05,5.05,1,1,3,1,305,0,0 / 0 / 0
Week 3,G2 vs. FNC,Win (1-0),15.77,15.77,1,4,1,4,227,0,0 / 0 / 0
Week 3,G2 vs. UOL,Win (1-0),19.49,19.49,1,3,5,9,249,0,0 / 0 / 0
Week 4,G2 vs. OG,Win (1-0),20.95,20.95,1,5,2,6,295,0,0 / 0 / 0
Week 4,G2 vs. SPY,Win (1-0),32.13,32.13,1,9,1,6,163,0,2 / 0 / 0
Week 5,G2 vs. VIT,Loss (0-1),6.44,6.44,1,1,2,2,244,0,0 / 0 / 0
Week 5,G2 vs. H2K,Win (1-0),22.79,22.79,1,2,3,10,329,1,0 / 0 / 0
Week 6,G2 vs. FNC,Loss (0-1),35.39,35.39,1,10,6,9,289,1,0 / 0 / 0
Week 6,G2 vs. ROC,Win (1-0),22.18,22.18,1,5,0,5,268,0,1 / 0 / 0
Week 7,G2 vs. EL,Win (1-0),17.49,17.49,1,3,2,6,349,0,0 / 0 / 0
Week 7,G2 vs. OG,Win (1-0),37.04,37.04,1,11,3,7,404,1,0 / 0 / 0
